indiv	AGE	SEX	PC1
4633435	51	0	-13.6054
4922412	41	0	37.6587
3552392	58	0	-14.1111
3627963	41	0	155.093
3356297	61	0	-12.2989
4564550	50	0	-13.7396
3028248	59	1	-8.47815
3690795	55	0	69.0559
2964688	42	0	-12.3999
1649836	58	0	73.8835
2356504	66	1	-10.6783
5348199	64	1	-9.72371
1775263	60	1	5.57486
2228749	58	0	-9.79297
2516559	46	0	326.792
2396712	58	1	-9.88447
1663622	60	0	80.7441
4436114	62	0	14.4677
2427324	50	0	389.867
5849687	40	0	62.8358
3813257	62	0	19.7255
1137600	60	0	12.0575
5778095	46	0	30.6965
4652895	59	1	-11.2271
1551432	64	0	-11.8263
1963465	57	1	22.1276
1708770	40	0	-12.542
4505700	68	0	-11.5268
2318007	61	0	-14.1298
4004387	61	0	-4.83499
3102121	55	0	-11.9881
1938515	51	0	-11.2538
5309484	43	1	68.4497
2900473	46	0	369.861
5405817	54	0	0.475046
5614738	42	0	-11.6077
1848783	44	0	65.0609
3403985	62	1	-4.20376
5953295	55	0	-2.97716
1742016	44	1	69.8452
4251292	53	1	18.3716
4703341	58	1	-13.7403
4736406	50	1	349.91
1910711	56	1	19.5001
2462621	50	0	-10.3961
3674192	46	1	-8.31734
4791766	43	1	15.2036
5679836	41	0	104.784
2246758	42	0	36.0564
1546726	53	0	257.025
3728515	53	1	-11.991
4945187	41	0	3.99812
3804947	62	1	408.508
2582476	54	0	-10.9044
4519332	56	1	414.246
2743430	68	0	18.9302
1836741	44	1	29.4145
4725813	67	0	24.9016
5482221	68	0	346.732
5672922	56	1	21.3192
4214120	63	0	402.095
2125944	49	1	7.2962
4196005	49	0	73.7852
3526100	66	1	-12.3103
1466743	69	0	-12.1306
4204304	53	0	-12.9654
2036423	44	0	-10.1856
5958276	60	0	37.0267
2001699	56	1	334.719
5771979	43	0	157.997
4568133	48	0	89.6764
2776543	50	1	59.4307
3322909	55	1	381.119
4986453	59	0	80.4286
2373858	51	0	36.531
5178074	61	0	400.416
1171447	56	0	81.3773
3727073	65	0	403.235
5260728	65	1	21.1468
5896112	58	1	155.206
2481879	42	0	133.344
4127168	46	1	146.328
3932281	65	0	-9.61905
1234006	46	1	124.556
3360743	48	1	149.953
1230477	51	0	147.965
5750426	54	0	318.234
1534413	52	0	21.7662
5240551	59	1	26.6561
3090101	54	0	-12.9684
3094832	57	1	-12.8708
4778504	62	1	175.242
3501558	63	0	-13.7314
4803621	68	1	14.9776
3885556	41	1	-9.71093
4290112	55	0	-13.4472
1315693	42	1	-2.6762
3671561	58	1	-0.499167
2121939	44	0	19.2565
5311689	42	0	6.92027
5838001	41	1	-11.8792
5475284	40	0	256.395
5507421	42	1	-9.80232
4273622	40	0	2.94924
2883179	68	1	366.239
4209487	68	1	38.1116
2147356	63	0	0.518233
4507751	44	0	86.5262
3415882	48	0	241.552
3462223	40	1	-11.3417
1230106	42	1	-3.54033
1070500	48	1	68.6597
4558825	48	1	395.844
5749895	40	1	5.23981
2611423	67	0	20.8489
1149924	46	1	67.7445
5696175	67	0	-14.7477
1291188	60	0	-11.085
3409984	60	0	22.4442
4409949	61	0	65.006
2256226	69	0	-11.7802
3201591	44	0	378.947
5628092	58	0	114.131
3286865	63	1	137.902
5292638	60	0	346.118
5496456	53	1	402.943
5209248	48	1	195.143
3948692	54	1	399.181
1396898	47	1	147.775
3745253	61	1	13.6091
5194701	62	0	21.6298
5000021	67	1	101.875
3646310	43	0	407.742
4724139	67	0	24.109
5570849	40	0	31.2928
2808763	48	0	-3.40343
4582407	54	0	60.322
3456631	51	0	-10.8993
5360966	57	1	5.50009
1418167	67	1	38.8447
4885935	66	0	-9.92517
5347140	52	1	411.123
5534377	58	1	-7.70173
4591728	56	0	81.4006
3528542	55	0	356.151
3976494	44	0	64.267
3577130	59	1	91.3162
1396300	64	0	1.35022
4743299	41	0	3.89396
1576428	55	0	305.169
2518680	66	0	-4.74596
5839830	60	0	162.869
3712511	51	0	50.1625
3921326	61	0	-0.0748867
2042180	62	1	-10.3364
1478992	54	0	313.552
1454522	68	1	386.907
2803077	40	1	62.0433
2976000	62	0	105.137
3729041	44	1	94.7952
1463370	41	0	31.1709
4286460	43	1	62.0882
2478287	41	0	363.25
5763877	56	0	22.2281
3113229	45	1	158.347
1576124	67	1	-7.15885
2185684	41	1	73.9385
1369018	59	0	35.3101
3615279	69	1	-10.7299
3231813	45	1	21.557
4806351	63	0	-13.0741
4672333	69	1	-11.2404
4906369	48	1	-8.76576
1894152	42	1	-11.0795
3345809	60	0	-13.767
1723653	53	1	-6.31251
2284041	58	0	316.194
4794550	42	1	401.386
4794186	50	1	34.0333
4585616	68	0	-14.1386
2226963	58	0	-7.14303
4687156	51	0	67.2571
2705911	56	1	67.958
4802261	66	0	406.598
2715229	69	1	4.8932
1560849	43	1	90.1173
5252110	64	0	2.58445
3835747	57	1	63.1576
2294938	50	0	362.524
2144923	62	1	22.8505
3532050	51	1	-10.2595
4790882	46	0	363.14
5457409	61	1	0.573759
5202637	68	1	-9.55187
3517944	41	0	-11.09
1762214	48	0	-12.7
4490873	67	0	-4.38484
5912412	68	1	67.5293
3030816	69	0	153.933
5455025	56	1	-12.2651
4966270	41	0	-14.1832
4783765	53	1	23.2713
1479358	50	0	60.0695
3347160	44	1	53.5261
2079326	61	0	406.107
5167099	52	0	60.4306
2413459	55	1	45.7698
5284735	40	1	59.8019
1592454	44	1	72.4985
2357146	68	1	37.8913
5533784	69	0	-12.4393
2225877	62	1	78.7463
5380206	62	1	-11.8036
2507006	51	1	27.9714
3821880	62	0	-12.7394
2696395	42	0	40.5255
5702373	62	0	48.9834
2434203	41	0	11.4072
5471995	40	1	80.4896
5526278	60	0	4.77267
1625451	43	1	398.049
4534525	43	0	-9.2045
2784883	46	0	-8.95983
1818855	62	0	-14.3458
2598552	42	1	132.291
3007217	63	0	3.13618
4751769	52	0	27.7954
5058596	67	1	-3.01775
4271883	67	0	47.2341
1154982	53	0	-14.4431
4203606	56	1	-1.16779
1838374	45	0	35.0664
4592199	46	1	67.9427
3289742	51	1	-12.2243
4785106	61	0	-4.25923
5360114	61	1	102.546
5898690	46	0	173.847
3492505	47	1	409.689
1814947	45	0	-13.1357
2384788	40	0	-11.2642
1189810	41	0	-10.1278
3797868	44	0	2.06245
5791738	50	1	-14.845
3614569	47	1	402.51
4856305	68	0	0.279315
1853463	48	1	-12.5596
4313051	64	0	-12.0578
1256439	56	1	-10.7444
5258802	42	0	66.7447
3594833	63	0	65.9329
4325059	47	0	65.3669
4408945	50	1	154.622
4367324	68	0	-8.16279
2792089	50	0	152.356
2004152	65	0	411.886
2516582	57	0	89.7249
2256275	50	1	68.4113
1860857	55	0	157.654
3679154	56	1	-7.07723
1416354	55	0	-4.66338
2642292	43	1	91.0999
3707025	52	0	396.701
4117784	44	1	-12.4876
1418808	61	1	-6.62971
3662862	50	1	99.0311
2441036	55	1	353.881
3439310	62	1	73.8203
5875255	69	0	-5.71968
1627587	67	1	4.3142
3152076	65	0	-4.77136
4352421	45	1	-12.9553
2521776	47	0	-7.04202
2757236	45	1	154.501
3047717	44	0	60.8865
5185329	65	1	34.3943
1907869	60	1	20.7315
5595755	47	0	-11.9188
5776750	58	1	-11.5326
2470814	54	0	-1.73393
3005708	57	1	157.3
4706191	54	0	-13.9446
2168275	42	1	95.6139
2266965	64	1	26.324
2395546	57	1	98.8059
3725780	58	0	83.8413
3265260	43	1	97.1174
3063464	67	1	62.5174
2991352	54	0	92.8473
2702631	52	1	377.321
1915040	58	1	17.542
3711562	63	0	403.461
1503298	54	0	16.9362
3518321	59	0	19.6449
3086408	60	0	-9.27067
1756039	43	1	70.0364
2130875	68	1	-12.9911
5101610	70	1	-10.5263
1859367	46	0	70.7991
3102703	42	1	-12.5489
2489223	53	1	411.496
5150811	43	1	61.4925
3952560	53	1	48.8959
6020188	66	0	60.5257
3066567	52	1	19.9706
2106045	45	0	102.698
2499152	65	1	-0.250973
4534273	61	1	4.69761
4935711	51	0	85.1638
2823127	51	1	158.142
3819156	63	0	6.57522
4609957	45	1	-12.1118
4391787	41	0	310.966
4329557	66	0	-13.2051
4300615	70	1	-13.5554
4087574	42	1	88.7072
1643350	44	0	333.602
4952241	57	0	20.2781
1925927	58	0	47.5702
4277222	60	0	-10.1025
2159901	42	1	-11.2431
2292679	59	0	237.121
4735046	60	0	407.409
1475867	62	1	12.6879
3019582	53	0	21.5127
2785940	42	0	138.923
